row_id,title,year,captured_citation_count,doi,openalex_id,venue,type,open_access,open_access_url,authors,institutions,source_query_count,source_queries,audit_classification,directness,duplicate_group,review_status
33,The liberalization and (re)regulation of Dutch gambling markets: National consequences of the changing European context,2008,59,10.1111/j.1748-5991.2008.00045.x,https://openalex.org/W2122290469,Regulation & Governance,article,True,https://research.vu.nl/ws/files/2364250/R_GKingmafulltext.pdf,Sytze Kingma,Vrije Universiteit Amsterdam,1,dutching sports betting strategy,tangential_betting_or_gambling,low,,automated retained set; manual core review required
34,The Wisdom of Bookies? Sentiment Analysis Versus. the NFL Point Spread,2010,59,10.1609/icwsm.v4i1.14074,https://openalex.org/W1510617223,Proceedings of the International AAAI Conference on Web and Social Media,article,True,https://ojs.aaai.org/index.php/ICWSM/article/download/14074/13923,Yancheng Hong; Steven Skiena,Hong Kong University of Science and Technology; Stony Brook University,1,anchor_wisdom_crowds,sports_betting_market_support,medium,,automated retained set; manual core review required
35,,2022,57,,https://openalex.org/W4225390793,Research Repository (Kingston University London),article,True,https://research-information.bris.ac.uk/en/publications/25acbe99-d73c-42f4-b569-1f89dc2d35b2,Philip Newall; Leonardo Weiss‐Cohen; Henrik Singmann; Lukasz Walasek; Elliot A. Ludvig,University of Bristol; University of Leeds; University of Warwick,1,betting limits stake restrictions bookmaker,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
36,Event-Related Potentials in Relation to Risk-Taking: A Systematic Review,2018,56,10.3389/fnbeh.2018.00111,https://openalex.org/W2804388590,Frontiers in Behavioral Neuroscience,review,True,https://www.frontiersin.org/articles/10.3389/fnbeh.2018.00111/pdf,Dilushi Chandrakumar; Daniel Feuerriegel; Stefan Bode; Megan Grech; Hannah A. D. Keage,University of Melbourne; University of South Australia,1,sports betting latency execution risk,tangential_betting_or_gambling,low,,automated retained set; manual core review required
37,Neoliberalism and Global Cinema,2011,56,10.4324/9780203813638,https://openalex.org/W589526264,,book,True,https://utoronto.scholaris.ca/bitstreams/d3b85aae-a8bb-4f13-99db-2d78f5efd3e3/download,"Lim, Bliss Cua",,1,currency conversion sports betting costs,tangential_betting_or_gambling,low,,automated retained set; manual core review required
38,TESTING THE EFFICIENCY OF MARKETS IN THE 2002 WORLD CUP,2012,52,10.5750/jpm.v1i3.504,https://openalex.org/W2142155762,The Journal of Prediction Markets,article,True,http://www.ubplj.org/index.php/jpm/article/download/504/541,Ricard Gil; Stephen D. Levitt,"American Bar Foundation; University of California, Santa Cruz",7,inter-market arbitrage sports betting; sports betting market efficiency arbitrage; arbitrage opportunity persistence sports market; horse racing betting market efficiency arbitrage; correlated outcomes arbitrage sports market; anchor_inter_market_arb; anchor_efficiency_review,tangential_betting_or_gambling,low,,automated retained set; manual core review required
39,Asset Pricing and Sports Betting,2021,51,10.1111/jofi.13082,https://openalex.org/W3200387316,The Journal of Finance,article,False,,Tobias J. Moskowitz,Yale University,2,sports betting arbitrage; anchor_asset_pricing,sports_betting_market_support,medium,DUP-02,automated retained set; manual core review required
40,Live-odds gambling advertising and consumer protection,2019,51,10.1371/journal.pone.0216876,https://openalex.org/W2948747002,PLoS ONE,article,True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216876&type=printable,Philip Newall; Thobhani Ankush; Lukasz Walasek; Caroline Meyer,University of Warwick,5,betting market arbitrage odds; arbitrage opportunity duration sports betting; European football gambling arbitrage soccer; horse racing betting market efficiency arbitrage; anchor_profiting_arb,sports_betting_market_support,medium,,automated retained set; manual core review required
41,INTENSITY AND GAMBLING HARMS: EXPLORING BREADTH OF GAMBLING INVOLVEMENT AMONG ESPORTS BETTORS,2017,51,10.1089/glr2.2017.21812,https://openalex.org/W2757506384,Gaming Law Review,article,False,,Sally Gainsbury; Brett Abarbanel; Alex Blaszczynski,,1,betting limits stake restrictions bookmaker,sports_betting_market_support,medium,,automated retained set; manual core review required
42,Betting is Loving and Bettors are Predators: A Conceptual Metaphor Approach to Online Sports Betting Advertising,2017,51,10.1007/s10899-017-9727-x,https://openalex.org/W2765635277,Journal of Gambling Studies,article,True,https://link.springer.com/content/pdf/10.1007/s10899-017-9727-x.pdf,Hibai López-González; Frederic Guerrero-Solé; Ana Estévez; Mark D. Griffiths,Nottingham Trent University; Universidad de Deusto; Universitat Pompeu Fabra,2,betting exchange commission Betfair sports; bookmaker market structure online betting,sports_betting_market_support,medium,,automated retained set; manual core review required
